 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"				    	    	  	    	    	  	    	    	  	    	    	  	    	    	  	    	    	  	    	    	  	    	    	  	    	    	  	    	    	  	    	    	  	    	    	  	    	    	  	    	    	  	    	    	  	    	    	  	    	    	  	    	    	  	    	    	  	    	    	  	    	    	  	    	    	      	    	  	  	    Title",Technology Broad Category,Technology Mid-Type,Technology Sub-Type,Status,Description,Rated Power,Latitude,Longitude,Image,Service / Use Cases,City,State,Country,Announced,Commissioned,Constructed,Decommissioned,isoRto,Utility,Utility Type,Grid Interconnection,Paired Grid Resource,Developer,Projected Project Lifetime (Years),Performance,Capital Expenditure,Operating Expense,Research Institution,Research Description,Last Updated,Black Start,Demand Response,Distribution upgrade due to solar,Distribution upgrade due to wind,Electric Bill Management,Electric Bill Management with Renewables,Electric Energy Time Shift,Electric Supply Capacity,Electric Supply Reserve Capacity - Non-Spinning,Electric Supply Reserve Capacity - Spinning,Frequency Regulation,Grid-Connected Commercial (Reliability & Quality),Grid-Connected Residential (Reliability),Load Following (Tertiary Balancing),Microgrid Capability,On-Site Power,Onsite Renewable Generation Shifting,Ramping,Renewables Capacity Firming,Renewables Energy Time Shift,Resiliency,Stationary Transmission/Distribution Upgrade Deferral,Transmission Congestion Relief,Transmission Support,Transmission upgrades due to solar,Transmission upgrades due to wind,Transportable Transmission/Distribution Upgrade Deferral,Transportation Services,Voltage Support
Burbank Central Library #4 - Ice Energy,Thermal Storage,Ice Thermal Storage,Ice Thermal Storage,Operational,"Ice Energy’s flagship Ice Bear system enables a powerful change in how – and more importantly when – energy is consumed for air conditioning. The Ice Bear system is an intelligent distributed energy storage solution that works in conjunction with commercial direct-expansion (DX) air-conditioning systems, specifically the refrigerant-based, 4-20-ton packaged rooftop systems common to most small to mid-sized commercial buildings. The system stores energy at night, when electricity generation is cleaner, more efficient and less expensive, and delivers that energy during the peak of the day to provide cooling to the building. Daytime energy demand from air conditioning – typically 40-50% of a building’s electricity use during peak daytime hours – can be reduced significantly. In kilowatts, each Ice Bear delivers an average reduction of 12 kW of source equivalent peak demand for a minimum of 6 hours daily, shifting 72 kW-hours of on-peak energy to off-peak hours. Ice Bear units are typically owned by utilities and installed at distributed locations behind the customer meter on commercial and industrial sites. When aggregated and deployed at scale, a typical utility deployment will shift the operation of thousands of commercial AC condensing units from on-peak periods to off-peak periods, reducing electric system demand, improving electric system load factor, reducing electric system costs, and improving overall electric system efficiency and power quality.",8,34.1832126,-118.31,,"Electric Bill Management, Electric Supply Capacity, ",Burbank,California,United States,DD.03.YYYY,,,,N/A,Burbank Water &amp; Power,,,Ice Energy,0,N/A,0,0,,,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sunrun&#039;s Brightbox Residential Energy Storage-Hawaii,Electro-chemical,Lithium-ion Battery,Lithium-ion Battery,Operational,"Sunrun, a residential solar company, announced the first completed installation of its Sunrun BrightBox energy storage system in the state. The Tesla battery holds solar power captured during the day so that it can be used at night.The system costs around $40,000, but after state and federal tax credits it’s closer to $20,000, Sunrun officials said. But they encourage residents to just lease the system with no out-of-pocket costs.Sunrun offers the leasing option now at 19 cents per kilowatt-hour, which is roughly 20 percent less than the current rates with Hawaiian Electric Co. This installation is a first for the Hawaiian Electric Company’s (HECO) new Customer Self-Supply (CSS) Program. HECO helps Hawaii homeowners get the assistance they need to install a rooftop solar system with solar energy battery storage. That means they can enjoy clean, affordable solar energy anytime, at rates below their current power bill. In addition, by partnering with HECO, Sunrun can provide products like the BrightBox system for affordable monthly payments or a prepaid lease with little to no money down!",0,21,-158,,"Electric Bill Management, Electric Bill Management with Renewables, Onsite Renewable Generation Shifting, Renewables Capacity Firming, Resiliency, ",Honolulu,Hawaii,United States,,DD.05.YYYY,,,N/A,Hawaiian Electric Company,Investor Owned,,,0,N/A,0,0,,,DD.16.YYYY 20:16:00,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,
Whole Foods Kailua- Hawaii ,Electro-chemical,Electro-chemical,Lithium-ion Battery,Under Construction,"STEM is rolling out its systems for Whole Foods Market in Kailua. Stem’s data analytics software incorporates weather-pattern information, past-usage data and rate information to predict when electricity use will peak. The Storage system is designed to respond to the spike in electricity use, drawing on stored power to reduce costs for customers.",0,21.4022222,-157.74,,"Electric Bill Management, ",Kailua,Hawaii,United States,DD.06.YYYY,,DD.07.YYYY,,N/A,Hawaiian Electric Company,,,Stem,0,,0,0,,,DD.04.YYYY 21:04:54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Aliso Canyon SCE Mira Loma Substation - Tesla,Electro-chemical,Electro-chemical,Lithium-ion Battery,Contracted,"Tesla on Thursday announced that it had won a deal to provide 20 megawatts of batteries to the utility to plug into one of its substations and provide energy during peak grid times. Tesla says the large battery installation would be able to provide enough power for 2,500 homes daily or 1,000 Tesla cars.  Tesla was selected to provide a 20 MW / 80 MWh Powerpack system at the Southern California Edison Mira Loma substation. Tesla was the only bidder awarded a utility-owned storage project out of the solicitation.",20000,34.0074494,-117.56,,"Electric Supply Capacity, ",Ontario,California,United States,DD.09.YYYY,DD.12.YYYY,,,CAISO,Southern California Edison,Investor Owned,,Tesla,0,,0,0,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Irvine Ranch Water District (IRWD) - AMS,Electro-chemical,Electro-chemical,Lithium-ion Battery,Announced,"The 7 MW / 34 MWh network will utilize Tesla batteries, installed at 11 of IRWD&#039;s largest and most energy-intensive facilities – including three water treatment and recycling plants, a deep aquifer treatment system, a groundwater desalter facility and six high-energy pumping stations – as part of a major grid modernization project for Southern California Edison (SCE).  The energy storage systems will be linked together as a network providing IRWD facility managers real time visibility and operational flexibility in responding to utility requests for demand reduction.",7,33.6588951,-117.83,,"Demand Response, Electric Bill Management, Electric Supply Capacity, ",Irvine,California,United States,DD.09.YYYY,,,,CAISO,Southern California Edison,Investor Owned,,Advanced Microgrid Solutions (AMS),0,"IRWD expects to see cost savings of more than $500,000 per year on its energy bill",0,0,,,DD.20.YYYY 01:20:23,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Polebridge Mercantile &amp; Cabins,Electro-chemical,Lithium-ion Battery,Lithium-ion Battery,De-Commissioned,"SIMPLIPHI POWER Polebridge Mercantile &amp;amp; Cabins is located 45 miles from the Utility Grid, on the western edge of Glacier National Park and has used a diesel-powered generator to provide power since the 1950’s. The constant rumble of the generator was an unwelcome addition to the majestic beauty of this unique wilderness location. A small 5kW solar power system with a large 48 volt flooded lead acid battery bank was installed in 2010, but proved too inadequate to meet load requirements and suffered from repeated deep cycle discharging. An additional 25kW of solar power were added along with SimpliPhi’s 3.4 kWh 48 Volt batteries to store power for overnight loads. The generator no longer runs continuously and guests may now enjoy the peace and silence of this remote natural paradise.  Twelve 48V SimpliPhi Power PHI 3.4 kWh LFP batteries are arranged in parallel to increase capacity. If the mercantile’s electrical loads increase over time, the SimpliPhi batteries easily scale, due to their compact, efficient size and weight to increase power output and capacity.",22,48.765106,-114.28,,"Microgrid Capability, ",Polebridge,Montana,United States,,,,DD.07.YYYY,N/A,,,,,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Wholefood Signage System,Electro-chemical,Lithium-ion Battery,Lithium-ion Battery,Operational,"SIMPLIPHI POWER provides reliable, clean and uninterrupted energy storage and management for the Whole Foods solar sign system located at their store in Folsom and two other locations in California.  Designed by SimpliPhi Power, the 22 solar-panels array collects enough energy in 6 hours to power the entire sign load for this 1+ acre store for more than 36 hours. The challenge was to create a solution that would store energy in a compact, maintenance-free, environmentally conscious system, that could withstand the Folsom California store’s rooftop temperatures of more than 140 degrees. Mission accomplished!",1,39,-121,,"Microgrid Capability, ",Folsom,California,United States,,DD.11.YYYY,,,CAISO,,,,SimpliPhi Power,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Airbnb and kitHAUS Microgrid Pop Up House,Electro-chemical,Lithium-ion Battery,Lithium-ion Battery,Operational,"SIMPLIPHI POWER provides reliable, clean and uninterrupted off-grid mobile energy storage and management for Airbnb and kitHAUS. State-of-the-art, eco- friendly pre-fab “pop-up” living quarters are energy independent and secure with the wall mounted power kit. Anytime. Anywhere.  During a celebrity-themed promotion in Los Angeles, California, design-savvy stars, including Moby, James Franco, Anjelica Houston and Molly Sims, were recruited to curate a series of Airbnb pop-up listings. The SimpliPhi PowerKit stores more than 5.2 kilowatts of renewable energy to provide backup and power security for all electrical equipment in the mobile kitHAUS living quarters. Without energy storage, renewable sources of power are intermittent and unpredictable, as is the grid in black-out and emergency scenarios in which the centralized delivery of power breaks down.",5,34,-118,,"Microgrid Capability, ",Sun Valley,California,United States,,DD.11.YYYY,,,N/A,,,,,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nextera Wyman,Electro-chemical,Electro-chemical,Electro-chemical,Announced,16.2MW battery energy storage sysetm,16200,43.8006208,-70.19,,"Frequency Regulation, ",yarmouth,Maine,United States,DD.12.YYYY,,,,ISO-NE,,,,,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Younicos-OCI Solar Power-Austin,Electro-chemical,Lithium-ion Battery,Lithium-ion Battery,Announced,"Younicos Inc. has entered into an agreement with leading solar power supplier OCI Solar Power to provide a turnkey battery storage system at one of OCI Solar Power’s projects in Texas. The system will be the first integrated grid-scale solar-plus-storage project to be deployed in the ERCOT market.  Younicos will be responsible for design, engineering, integration and construction of the 1 MW system, which is expected to come online in early 2016. It will also be the first use of LG Chem battery technology in ERCOT. Younicos’s own proprietary control software will manage system performance within the ERCOT market in conjunction with operation of the solar farm.",1000,29.4241219,-98.49,,"Renewables Energy Time Shift, ",San Antonio,Texas,United States,DD.09.YYYY,,,,ERCOT,,,,OCI Solar Power,0,N/A,0,0,,,DD.44.YYYY 23:44:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Anderson Pumped Storage,Pumped Hydro Storage,Closed-loop Pumped Hydro,Closed-loop Pumped Hydro Storage,Announced,.,80000,42.9487655,-115.3,,"Electric Supply Capacity, Electric Supply Reserve Capacity - Non-Spinning, Electric Supply Reserve Capacity - Spinning, Frequency Regulation, ",Elmore County,Oregon,United States,DD.01.YYYY,,,,N/A,,,,,0,.,1000000000,0,,,DD.51.YYYY 20:51:02,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Black Canyon Pumped Storage,Pumped Hydro Storage,Pumped Hydro,Pumped Hydro Storage,Announced,.,1000000,41.8023171,-107.24,,"Electric Supply Capacity, Electric Supply Reserve Capacity - Non-Spinning, Electric Supply Reserve Capacity - Spinning, Frequency Regulation, ",Carbon County,Nevada,United States,DD.01.YYYY,,,,N/A,,,,,0,.,1000000000,0,,,DD.47.YYYY 20:47:14,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
